date,value,metric,source,fetched_at
2016-02-01,143406.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450141
2016-01-01,143210.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450141
2015-12-01,143077.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450142
2015-11-01,142808.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450142
2015-10-01,142579.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450143
2015-09-01,142275.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450144
2015-08-01,142125.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450144
2015-07-01,141991.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450145
2015-06-01,141709.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450145
2015-05-01,141538.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450146
2015-04-01,141196.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450147
2015-03-01,140923.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450147
2015-02-01,140827.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450148
2015-01-01,140568.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450149
2014-12-01,140364.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450150
2014-11-01,140089.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450150
2014-10-01,139798.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450151
2014-09-01,139563.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450151
2014-08-01,139269.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450152
2014-07-01,139072.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450154
2014-06-01,138849.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450155
2014-05-01,138513.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450155
2014-04-01,138298.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450156
2014-03-01,137985.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450157
2014-02-01,137712.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450157
2014-01-01,137561.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450158
2013-12-01,137372.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450158
2013-11-01,137317.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450159
2013-10-01,137041.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450159
2013-09-01,136821.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450160
2013-08-01,136646.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450161
2013-07-01,136391.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450162
2013-06-01,136279.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450163
2013-05-01,136096.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450163
2013-04-01,135873.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450164
2013-03-01,135689.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450164
2013-02-01,135546.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450165
2013-01-01,135257.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450165
2012-12-01,135074.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450166
2012-11-01,134825.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450167
2012-10-01,134669.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450167
2012-09-01,134517.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450168
2012-08-01,134339.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450168
2012-07-01,134157.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450169
2012-06-01,134013.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450170
2012-05-01,133932.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450171
2012-04-01,133825.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450172
2012-03-01,133748.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450173
2012-02-01,133509.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450173
2012-01-01,133246.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450174
2011-12-01,132888.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450175
2011-11-01,132690.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450176
2011-10-01,132553.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450177
2011-09-01,132344.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450177
2011-08-01,132125.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450178
2011-07-01,131992.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450178
2011-06-01,131931.0,nonfarm_employment_bls,BLS,2026-03-15 21:39:21.450179
